tTrials.thisRepN,tTrials.thisTrialN,tTrials.thisN,tTrials.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,tStart_text.started,tStart_text.stopped,Prediction,practice_Frequency,practice_Level,practice_Psychopy_Level,practice_isCatchTrial,Practice_trial_detection,practice_Cue_Delays,practice_Cue_Frequencies,practice_Interval,practice_Cue_Intensities,tCue_visual_cue.started,tCue_visual_cue.stopped,tProbe_visual_cue.started,tProbe_visual_cue.stopped,tFeedback.keys,tFeedback.corr,tFeedback.started,tFeedback.stopped,tToo_late.keys,tToo_late.corr,tToo_early.keys,tToo_early.corr,more_instructions.started,more_instructions.stopped,readyy.keys,readyy.rt,readyy.started,readyy.stopped,txt_rhythm.started,txt_rhythm.stopped,sound_1.started,sound_1.stopped,sound_2.started,sound_2.stopped,sound_3.started,sound_3.stopped,sound_4.started,sound_4.stopped,cross.started,cross.stopped,sound_5.started,sound_5.stopped,circle.started,circle.stopped,rhythm_ready.keys,rhythm_ready.rt,rhythm_ready.started,rhythm_ready.stopped,rhytm_ready_txt.started,rhytm_ready_txt.stopped,txt_freq.started,txt_freq.stopped,sound_6.started,sound_6.stopped,sound_7.started,sound_7.stopped,sound_8.started,sound_8.stopped,sound_9.started,sound_9.stopped,cross_2.started,cross_2.stopped,sound_10.started,sound_10.stopped,circle_2.started,circle_2.stopped,freq_ready.keys,freq_ready.rt,freq_ready.started,freq_ready.stopped,freq_ready_txt.started,freq_ready_txt.stopped,txt_freq_2.started,txt_freq_2.stopped,sound_11.started,sound_11.stopped,sound_12.started,sound_12.stopped,sound_13.started,sound_13.stopped,sound_14.started,sound_14.stopped,cross_3.started,cross_3.stopped,sound_15.started,sound_15.stopped,circle_3.started,circle_3.stopped,freq_ready_2.keys,freq_ready_2.rt,freq_ready_2.started,freq_ready_2.stopped,freq_ready_txt_2.started,freq_ready_txt_2.stopped,txt_freq_3.started,txt_freq_3.stopped,sound_16.started,sound_16.stopped,sound_17.started,sound_17.stopped,sound_18.started,sound_18.stopped,sound_19.started,sound_19.stopped,cross_4.started,cross_4.stopped,sound_20.started,sound_20.stopped,circle_4.started,circle_4.stopped,freq_ready_txt_3.started,freq_ready_txt_3.stopped,tStart_text_2.started,tStart_text_2.stopped,this_trial_is.started,this_trial_is.stopped,API_start,API_stop,API_duration,Frequency,Level,Psychopy_Level,Real trial detection,Cue Delays,Cue Frequencies,Interval,Cue Intensities,Catch trial,cue_visual_cue.started,cue_visual_cue.stopped,probe_visual_cue.started,probe_visual_cue.stopped,feedback.keys,feedback.corr,feedback.started,feedback.stopped,answer_too_early.keys,answer_too_early.corr,answer_too_early.rt,feedback.rt,Catch trial answer,Audiogram_frequency,Audiogram_none,Audiogram_time,Audiogram_both,goodbye_text.started,goodbye_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,Language (english or french),Skip training? (1 for yes),Resume previous experiment,date,expName,psychopyVersion,frameRate,
,,,,3,0,3,0,16,0,16,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.0674489000812,None,,,,3913.818287936414,-3.913313552744004,5.252979470365201e-05,0,"[0.7689930680428935, 0.7689930680428935, 0.7689930680428935, 0.7689930680428935]","[268.5689188591753, 134.5164665415142, 5485.505600009163, 2879.1543475053663]",None,"[8.326813114499995, 2.0, -1.099175111788238, -0.1909083371422149]",False,518.0703352999408,521.4222999999765,521.4222999999765,522.6606769999489,None,0,4.120208460139111,5.1512770601548254,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.2386217000894,None,,,,6404.325402462275,-3.174846809994529,9.239854536092159e-05,0,"[0.43041059143743926, 0.7694068778733705, 0.5402224364150474, 0.6025809197725712]","[372.3748344990869, 6241.823288626604, 6981.952505096205, 160.02335315656697]",None,"[7.693636570531561, -1.0, -1.4208264158412334, 5.0]",False,524.2435459999833,527.028501200024,527.028501200024,528.2462700000033,None,0,3.380761360283941,4.412538260221481,"['space', 'space']",0,"[-3.553955800132826, 0.029683700064197183]",,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,18,0,18,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.677537499927,None,1650620630.338778,1650620632.3306277,1.991849660873413,3031.4331330207992,-3.0,4.091827205982744e-05,0,"[0.4334270852560327, 0.6923323940871782, 0.6918729281643508, 0.5023232815080664]","[759.3249379536671, 5755.822872080327, 203.91527071640698, 232.47561100315858]",None,"[4.0, -1.099175111788238, 9.0, 9.192667839365058]",False,531.6809570000041,534.5361564999912,534.5361564999912,535.7418058000039,None,0,3.345807960489765,4.3788016606122255,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,3,0,3,0,19,0,19,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0897629000247,None,1650620637.7478948,1650620639.275921,1.5280263423919678,287.17458874925893,18.0,0.001017531505521433,1,"[0.7628038045589483, 0.7628038045589483, 0.7628038045589483, 0.7628038045589483]","[180.90865468004733, 203.06309908905897, 227.93062213955432, 255.84347299919386]",Tone,"[7.250110335393013, 8.973732267488668, 9.192667839365058, 8.840291789389005]",False,538.6265980999451,541.9428463999648,541.9428463999648,543.1792111000977,['space'],1,4.082938440144062,None,['space'],0,[-5.572141700191423],[0.5384551000315696],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,0,0,0,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.6761407000013,None,,,,,,,,"[0.674423747281784, 0.6647440873921905, 0.4158944929316081, 0.4377351742230764]","[302.94504776098006, 340.0443188349705, 381.6868426354665, 428.42899519734306]",Tone,"[7.399046871854939, 7.234734021061623, 7.693636570531561, 8.715675910554989]",True,549.6741955999751,552.4550829001237,552.4550829001237,553.6602807999589,None,1,3.2098497599363327,4.227741359965876,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,1,0,1,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.9177298999857,None,,,,7190.297099399553,-3.5303949681916036,0.00010456012249539527,1,"[0.5084244514183048, 0.6768105497898174, 0.4730750455503807, 0.5148440341234236]","[4529.603335265772, 5084.307837731387, 5706.942589775372, 6405.826468903261]",Tone,"[-1.825371943492379, -1.6305854542215412, -1.099175111788238, -1.090804645452339]",False,554.9105760001112,557.5931134999264,557.5931134999264,558.8272832001094,['space'],1,3.2122289601247758,None,None,1,,[0.8186170000117272],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,2,0,2,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.9772644001059,None,1650620660.6345167,1650620663.4187558,2.7842390537261963,870.5505632961246,-4.0,2.5473799685121028e-05,0,"[0.7662414475900283, 0.7662414475900283, 0.7662414475900283, 0.7662414475900283]","[273.9516385227371, 7910.467007507264, 1337.6623546351138, 4602.844994980444]",None,"[8.326813114499995, -2.619118340294624, 6.146476095889664, -1.825371943492379]",False,562.7693624999374,566.1018119000364,566.1018119000364,567.3368516000919,None,0,4.094102820614353,5.1121813205536455,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,3,0,3,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.9010753999464,None,,,,5112.748109828744,-3.3656304726129247,0.00010085632715373081,0,"[0.7830844372514539, 0.7830844372514539, 0.7830844372514539, 0.7830844372514539]","[1014.4977159988214, 1520.029107356264, 2277.4703686104353, 3412.34997066596]",Perfect_5th,"[3.314424444196705, 5.809690816193903, 0.3938950762819644, -1.0]",False,568.8919190999586,572.2757433999795,572.2757433999795,573.5087671999354,None,0,4.146805759985,5.178444160148501,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,4,0,4,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.0913235000335,None,1650620675.7523026,1650620677.2941089,1.5418062210083008,1515.7165665103996,-1.0,4.4233032710320856e-05,1,"[0.4521552049426806, 0.5928239977077481, 0.7701081607566254, 0.5875858057259503]","[7638.7328312833415, 5098.2425092770545, 3402.6686438034267, 2271.008858141757]",Perfect_5th,"[-2.0, -1.6305854542215412, -1.0, 0.3938950762819644]",False,576.6448099000845,579.4832435001153,579.4832435001153,580.7196551999077,['space'],1,3.4528645602986217,None,None,1,,[0.8295849000569433],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,5,0,5,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.9304162000772,None,,,,3042.609663068805,-2.6658960208978772,4.330101585714646e-05,1,"[0.4809926703733973, 0.5734036909538226, 0.4647007214950763, 0.6171536620912755]","[1916.7239805569668, 2151.449925259668, 2414.9208899420146, 2710.6570486294077]",Tone,"[2.0, 0.9321212336641782, 0.12274927998099194, -0.03000906409819315]",False,581.9376999998931,584.490184900118,584.490184900118,585.7229339000769,['space'],1,3.1798661600332707,None,None,1,,[0.8638895000331104],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,6,0,6,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.0059845000505,None,1650620687.6628838,1650620689.458194,1.7953102588653564,3482.202253184498,0.0,7.485072584861476e-05,1,"[0.7075572109743804, 0.7075572109743804, 0.7075572109743804, 0.7075572109743804]","[1381.9128799677774, 1741.1011265922498, 2193.6499593892536, 2763.825759935554]",Major_3rd,"[6.208779135391241, 3.9476880217548187, 0.9321212336641782, -0.1909083371422149]",False,588.809399300022,591.9639463999774,591.9639463999774,593.1993837000336,['space'],1,3.8435483204666525,None,None,1,,[0.6323081001173705],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,7,0,7,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.3493566999678,None,,,,177.08271202004775,5.080958210000551,0.0006262632603116758,1,"[0.6336618541789267, 0.6336618541789267, 0.6336618541789267, 0.6336618541789267]","[1345.1247920062212, 189.26880785003985, 130.1330637986724, 3272.451603858392]",None,"[6.146476095889664, 8.2776971649791, 1.0, -0.7195967390694644]",False,594.3537210999057,597.3032098999247,597.3032098999247,598.5368278999813,['space'],1,3.5462460601702332,None,None,1,,[0.6751657000277191],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,8,0,8,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.6191569000948,None,,,,4555.415347134627,-3.919769902670674,7.77904725854584e-05,1,"[0.6436395606121572, 0.6436395606121572, 0.6436395606121572, 0.6436395606121572]","[1807.8177785483974, 2277.707673567314, 2869.731843434539, 3615.635557096794]",Major_3rd,"[3.0, 0.3938950762819644, -0.1909083371422149, -1.4686279785677971]",False,599.6227116000373,602.5743577000685,602.5743577000685,None,['space'],1,3.613461460219696,None,None,1,,[0.23388479999266565],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,9,0,9,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.5206450000405,None,1650620705.182305,1650620707.356074,2.173768997192383,615.5722066724584,2.0,6.7245992777071e-05,1,"[0.49943429733645534, 0.49943429733645534, 0.49943429733645534, 0.49943429733645534]","[1551.1447618337352, 1231.1444133449168, 977.1599684342464, 775.5723809168676]",Major_3rd,"[5.809690816193903, 5.652799643408654, 3.314424444196705, 4.0]",False,606.7547104000114,609.2816989000421,609.2816989000421,610.5158947000746,['space'],1,3.016709220362827,None,None,1,,[0.9240970998071134],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,10,0,10,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.7321977000684,None,1650620712.3892312,1650620713.9663007,1.5770695209503174,353.5533905932738,7.0,0.00019837829677229338,1,"[0.5436596795298121, 0.7851596995030862, 0.7878423184775358, 0.4953662361203617]","[1781.7974362806788, 1189.2071150027211, 793.7005259840998, 529.7315471796477]",Perfect_5th,"[3.9476880217548187, 5.0, 3.2260249263326117, 8.89347349739519]",False,613.3197922001127,616.4537710999139,616.4537710999139,None,['space'],1,3.6461711800657213,None,None,1,,[0.27343109995126724],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,11,0,11,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.2704934999347,None,,,,,,,,"[0.41770334800806297, 0.4979364810398106, 0.6420267078231827, 0.6247050008592452]","[3612.4367428238393, 1949.010588347748, 870.138292431263, 132.85780154600306]",None,"[-1.4686279785677971, 2.0, 2.835141011822397, 1.922254749025186]",True,618.2783842000645,620.8620742999483,620.8620742999483,622.0960711000953,None,1,3.211070660268888,4.241929460084066,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,12,0,12,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.5380079001188,None,,,,3467.492012080987,-3.29370553291234,5.105166264832123e-05,1,"[0.6738355308947417, 0.7142131973963137, 0.7698555339573574, 0.5692952151690849]","[274.2098458420972, 5336.2894996776395, 1260.9551263282906, 794.4945159512126]",None,"[8.0, -1.3539693998841358, 5.652799643408654, 3.2260249263326117]",False,623.5489922000561,626.7345557999797,626.7345557999797,None,['space'],1,3.7450374600011855,None,None,1,,[0.4307275000028312],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,13,0,13,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.7519769000355,None,1650620729.408025,1650620732.3919697,2.9839446544647217,217.63764082403114,-2.0,0.0001833998500082898,1,"[0.6053528125036314, 0.6053528125036314, 0.6053528125036314, 0.6053528125036314]","[2297.201062518765, 3762.441443344087, 169.05251648250186, 1972.915534247374]",None,"[0.3938950762819644, -1.4686279785677971, 6.0, 2.0]",False,631.7453050999902,634.5776645001024,634.5776645001024,None,['space'],1,3.4564818602520972,None,None,1,,[0.3926266999915242],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,14,0,14,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.6216973999981,None,1650620737.281086,1650620739.288613,2.0075271129608154,615.5722066724584,6.0,0.00010657771617266901,1,"[0.5196150631495613, 0.5977648873612016, 0.7723652259677342, 0.5889879301771234]","[2959.505307606999, 7054.848810529709, 3444.650262318157, 167.16954529963846]",None,"[-0.41565361304880266, -1.4208264158412334, -1.0, 6.0]",False,638.6427114999387,641.5496644999366,641.5496644999366,None,['space'],1,3.5124203802552074,None,None,1,,[0.41102849994786084],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,15,0,15,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.5976335001178,None,,,,,,,,"[0.6056989814646108, 0.7169869115105367, 0.7539362461395019, 0.5303910077386726]","[2652.8516075136617, 2977.7252492305975, 3342.383582553915, 3751.6987223090878]",Tone,"[-0.03000906409819315, -0.41565361304880266, -1.0, -1.4686279785677971]",True,643.602565200068,646.7211672998965,646.7211672998965,647.955541400006,None,1,3.6449186601676047,4.678875260055065,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,16,0,16,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.3032072999049,None,,,,6906.5446602355405,-3.5303949681916036,9.883163566614082e-05,1,"[0.7996817923353341, 0.7996817923353341, 0.7996817923353341, 0.7996817923353341]","[4350.8504997348955, 4883.66456382029, 5481.728129561623, 6153.031784582848]",Tone,"[-1.8708373282903583, -1.6305854542215412, -1.099175111788238, -1.0]",False,649.3092555999756,652.7285154000856,652.7285154000856,None,['space'],1,4.217859060270712,None,None,1,,[0.3910201999824494],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,17,0,17,0,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.9410556000657,None,,,,5656.398102728303,-3.1164168586801693,8.978817946977112e-05,0,"[0.7176682334923338, 0.7471236017625824, 0.6983996462020925, 0.7714842577167748]","[3685.153542197435, 1283.326534752898, 2951.841384702163, 2790.2256620567887]",None,"[-1.4686279785677971, 6.0, -0.41565361304880266, -0.1909083371422149]",False,654.9513890000526,658.1335458001122,658.1335458001122,659.3679357999936,None,0,3.952840160112828,4.97649856028147,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,18,0,18,0,,,both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.9470999999903,None,1650620761.6036243,1650620763.9616928,2.3580684661865234,125.0,2.0,0.000909850429304992,0,"[0.5939658244777244, 0.5939658244777244, 0.5939658244777244, 0.5939658244777244]","[629.9605249474366, 420.4482076268573, 280.6155120773433, 187.2883846095852]",Perfect_5th,"[7.0, 8.211586807684622, 8.0, 8.0]",False,663.3148004999384,666.142663900042,666.142663900042,667.3785055000335,None,0,3.388285020366311,4.420282720355317,None,1,,,,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,4,0,4,0,19,0,19,0,,,frequency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.7562762000598,None,,,,6167.400708662902,-3.0324431134414525,8.728795309459724e-05,1,"[0.492399552939154, 0.617185359769474, 0.4133817617959141, 0.614576707877744]","[2447.5345932102277, 3083.7003543314513, 3885.218987990474, 4895.069186420455]",Major_3rd,"[0.12274927998099194, -0.41565361304880266, -1.7450720210032946, -1.6305854542215412]",False,668.7687484999187,671.3149309,671.3149309,None,['space'],1,3.175048660254106,None,None,1,,[0.007641100091859698],,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
,,,,5,0,5,0,0,0,0,0,,,time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.2871842999011,None,,,,,,,,"[0.6970069666730686, 0.6970069666730686, 0.6970069666730686, 0.6970069666730686]","[138.9351167577658, 6161.533147955913, 2735.810612915224, 2531.6587744590456]",None,"[3.0, -1.0, -0.1909083371422149, 0.12274927998099194]",True,675.2680655000731,678.3885345000308,678.3885345000308,679.6243253999855,None,1,3.819745560409501,4.847774860449135,None,1,,,0,,,,,,,,,,,tyrfqt,001,fr,1,0,2022-04-22_11h35.19.106,Cluster,2022.1.1,35.47496905696009,
